Year,word,word_type,relative_usage
1952,moron,group 1,20.9273864
1952,nimrod,group 1,13.7488092
1952,nerd,group 2,19.26053828
1952,geek,group 2,41.30718737
1953,idiot,group 1,65.43766579
1953,moron,group 1,20.62378291
1953,nimrod,group 1,13.93855129
1953,nerd,group 2,19.09816123
1953,geek,group 2,39.47648186
1954,idiot,group 1,65.89301794
1954,moron,group 1,20.41535679
1954,nimrod,group 1,13.69162527
1954,nerd,group 2,20.00039899
1954,geek,group 2,36.57434486
1955,idiot,group 1,66.58021199
1955,moron,group 1,19.93725283
1955,nimrod,group 1,13.48253517
1955,nerd,group 2,19.90113178
1955,geek,group 2,35.42090335
1956,idiot,group 1,66.44372649
1956,moron,group 1,19.88749544
1956,nimrod,group 1,13.66877807
1956,nerd,group 2,20.51569169
1956,geek,group 2,32.70908132
1957,idiot,group 1,67.36396194
1957,moron,group 1,18.96430439
1957,nimrod,group 1,13.67173368
1957,nerd,group 2,20.43338013
1957,geek,group 2,32.14477603
1958,idiot,group 1,68.45784318
1958,moron,group 1,17.47604149
1958,nimrod,group 1,14.06611533
1958,nerd,group 2,19.78300204
1958,geek,group 2,33.02783635
1959,idiot,group 1,68.55434435
1959,moron,group 1,16.90266231
1959,nimrod,group 1,14.54299334
1959,nerd,group 2,20.14554888
1959,geek,group 2,32.15487215
1960,idiot,group 1,69.13936351
1960,moron,group 1,16.15605059
1960,nimrod,group 1,14.70458589
1960,nerd,group 2,20.48104535
1960,geek,group 2,34.0911052
1960,dork,group 2,45.42784946
1961,idiot,group 1,68.86157946
1961,moron,group 1,15.88796313
1961,nimrod,group 1,15.25045741
1961,nerd,group 2,20.20014221
1961,geek,group 2,35.01684558
1961,dork,group 2,44.78301221
1962,idiot,group 1,68.8084834
1962,moron,group 1,15.27731599
1962,nimrod,group 1,15.91420061
1962,nerd,group 2,20.68826566
1962,geek,group 2,35.57885684
1962,dork,group 2,43.7328775
1963,idiot,group 1,69.00523925
1963,moron,group 1,14.69744246
1963,nimrod,group 1,16.29731829
1963,nerd,group 2,20.71679203
1963,geek,group 2,37.19197109
1963,dork,group 2,42.09123688
1964,idiot,group 1,68.5993355
1964,moron,group 1,14.39838713
1964,nimrod,group 1,17.00227737
1964,nerd,group 2,22.13873182
1964,geek,group 2,34.50180499
1964,dork,group 2,43.35946318
1965,idiot,group 1,68.40971714
1965,moron,group 1,14.00828328
1965,nimrod,group 1,17.58199958
1965,nerd,group 2,22.31564723
1965,geek,group 2,36.13143481
1965,dork,group 2,41.55291796
1966,idiot,group 1,68.17887176
1966,moron,group 1,13.65261734
1966,nimrod,group 1,18.1685109
1966,nerd,group 2,22.71000315
1966,geek,group 2,38.1900505
1966,dork,group 2,39.09994635
1967,idiot,group 1,67.83465128
1967,moron,group 1,13.41979279
1967,nimrod,group 1,18.74555593
1967,nerd,group 2,23.64855936
1967,geek,group 2,38.6761313
1967,dork,group 2,37.67530935
1968,idiot,group 1,68.15695869
1968,moron,group 1,12.69507947
1968,nimrod,group 1,19.14796183
1968,nerd,group 2,23.91826055
1968,geek,group 2,40.13129767
1968,dork,group 2,35.95044178
1969,idiot,group 1,68.44212271
1969,moron,group 1,12.32165394
1969,nimrod,group 1,19.23622335
1969,nerd,group 2,23.95773923
1969,geek,group 2,40.29234137
1969,dork,group 2,35.7499194
1970,idiot,group 1,65.66954944
1970,moron,group 1,11.72582224
1970,nimrod,group 1,22.60462832
1970,nerd,group 2,24.36442132
1970,geek,group 2,40.72718569
1970,dork,group 2,34.90839298
1971,idiot,group 1,64.32193741
1971,moron,group 1,11.1435298
1971,nimrod,group 1,24.5345328
1971,nerd,group 2,25.00853402
1971,geek,group 2,41.35047604
1971,dork,group 2,33.64098995
1972,idiot,group 1,62.35466824
1972,moron,group 1,10.76921895
1972,nimrod,group 1,26.87611281
1972,nerd,group 2,24.97449285
1972,geek,group 2,41.90152249
1972,dork,group 2,33.12398466
1973,idiot,group 1,60.83744897
1973,moron,group 1,10.36620629
1973,nimrod,group 1,28.79634474
1973,nerd,group 2,24.31702621
